"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"271","awendo lamba, 042, Nairobi","136","900 Edina Apartments","1/10/2017 - 1/12/2017, Every day, Daily Average",2623,1700,4046
"271","awendo lamba, 042, Nairobi","137","Thika - Mang'u Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2928,2206,3885
"271","awendo lamba, 042, Nairobi","138","Northern Bypass Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1722,1153,2570
"271","awendo lamba, 042, Nairobi","139","Kiambu Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1507,912,2487
"271","awendo lamba, 042, Nairobi","140","Banana Raini Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1973,1403,2773
"271","awendo lamba, 042, Nairobi","141","Loiyangalani Dr","1/10/2017 - 1/12/2017, Every day, Daily Average",1256,785,2007
"271","awendo lamba, 042, Nairobi","142","Brookside Grove","1/10/2017 - 1/12/2017, Every day, Daily Average",647,352,1188
"271","awendo lamba, 042, Nairobi","143","Olkeri Laiser Hill Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2866,1844,4453
"271","awendo lamba, 042, Nairobi","145","Mombasa Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1904,1203,3011
"271","awendo lamba, 042, Nairobi","146","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2723,1736,4270
"271","awendo lamba, 042, Nairobi","147","Meru - Nairobi Hwy","1/10/2017 - 1/12/2017, Every day, Daily Average",2674,1711,4178
"271","awendo lamba, 042, Nairobi","148","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",3642,2394,5540
"271","awendo lamba, 042, Nairobi","150","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2996,1938,4629
"271","awendo lamba, 042, Nairobi","151","0 Riverside Dr","1/10/2017 - 1/12/2017, Every day, Daily Average",423,196,911
"271","awendo lamba, 042, Nairobi","152","Nairobi - Namanga","1/10/2017 - 1/12/2017, Every day, Daily Average",2470,1646,3704
"271","awendo lamba, 042, Nairobi","153","0 Bendera Ln","1/10/2017 - 1/12/2017, Every day, Daily Average",1222,777,1919
"271","awendo lamba, 042, Nairobi","154","Magadi Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1705,1119,2597
"271","awendo lamba, 042, Nairobi","155","C65","1/10/2017 - 1/12/2017, Every day, Daily Average",2035,1351,3064
"271","awendo lamba, 042, Nairobi","157","0 Spring Valley Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1145,702,1866
"271","awendo lamba, 042, Nairobi","158","Magadi Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1400,876,2235
"271","awendo lamba, 042, Nairobi","159","Zada Flat","1/10/2017 - 1/12/2017, Every day, Daily Average",2171,1243,3791
"271","awendo lamba, 042, Nairobi","161","clay city masournets","1/10/2017 - 1/12/2017, Every day, Daily Average",1459,888,2396
"271","awendo lamba, 042, Nairobi","164","Mumbi Ln","1/10/2017 - 1/12/2017, Every day, Daily Average",1837,1100,3065
"271","awendo lamba, 042, Nairobi","165","A 104","1/10/2017 - 1/12/2017, Every day, Daily Average",2338,1634,3343
"271","awendo lamba, 042, Nairobi","166","Embakasi Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1727,1004,2968
"271","awendo lamba, 042, Nairobi","167","Kirawa Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1673,1156,2419
"271","awendo lamba, 042, Nairobi","168","Ring Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2954,1981,4403
"271","awendo lamba, 042, Nairobi","169","J35,Block 62/469 Kibera Dr","1/10/2017 - 1/12/2017, Every day, Daily Average",1133,681,1884
"271","awendo lamba, 042, Nairobi","172","James Gichuru Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1168,704,1936
"271","awendo lamba, 042, Nairobi","173","Garissa Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",3410,2584,4499
"271","awendo lamba, 042, Nairobi","175","Kamiti Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2159,1470,3170
"271","awendo lamba, 042, Nairobi","176","Share Saifiyah Burhaniyah","1/10/2017 - 1/12/2017, Every day, Daily Average",1536,990,2382
"271","awendo lamba, 042, Nairobi","177","Kikuyu Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2310,1592,3350
"271","awendo lamba, 042, Nairobi","178","Kugeria Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1621,1061,2476
"271","awendo lamba, 042, Nairobi","179","Eldoret-Malaba Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2115,1588,2815
"271","awendo lamba, 042, Nairobi","180","Eastern Bypass","1/10/2017 - 1/12/2017, Every day, Daily Average",2164,1266,3697
"271","awendo lamba, 042, Nairobi","181","King'eero Shopping Centre Main Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1975,1454,2682
"271","awendo lamba, 042, Nairobi","182","A 104","1/10/2017 - 1/12/2017, Every day, Daily Average",1790,1317,2431
"271","awendo lamba, 042, Nairobi","183","Rd to Utawala Academy","1/10/2017 - 1/12/2017, Every day, Daily Average",2190,1334,3593
"271","awendo lamba, 042, Nairobi","184","Miami Ct Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2684,1753,4107
"271","awendo lamba, 042, Nairobi","185","Limuru Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2583,1823,3659
"271","awendo lamba, 042, Nairobi","186","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1945,1425,2654
"271","awendo lamba, 042, Nairobi","187","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",3589,2470,5213
"271","awendo lamba, 042, Nairobi","188","Hinga Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1028,627,1683
"271","awendo lamba, 042, Nairobi","189","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2015,1284,3161
"271","awendo lamba, 042, Nairobi","190","Kamandura - Mai Mahiu - Narok Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2516,1907,3318
"271","awendo lamba, 042, Nairobi","191","Bogani E Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1710,1118,2613
"271","awendo lamba, 042, Nairobi","192","Cargen House","1/10/2017 - 1/12/2017, Every day, Daily Average",264,75,922
"271","awendo lamba, 042, Nairobi","193","Katani Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2117,1331,3365
"271","awendo lamba, 042, Nairobi","194","James Dr","1/10/2017 - 1/12/2017, Every day, Daily Average",1940,1308,2876
"271","awendo lamba, 042, Nairobi","198","Mae Properties Dr","1/10/2017 - 1/12/2017, Every day, Daily Average",1632,1038,2564
"271","awendo lamba, 042, Nairobi","199","Catholic Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2639,1777,3918
"271","awendo lamba, 042, Nairobi","200","Karura Munyaka Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2622,1701,4040
"271","awendo lamba, 042, Nairobi","201","Masimba Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2565,1581,4160
"271","awendo lamba, 042, Nairobi","202","Rose Cl","1/10/2017 - 1/12/2017, Every day, Daily Average",528,286,972
"271","awendo lamba, 042, Nairobi","203","Ngong Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2498,1633,3820
"271","awendo lamba, 042, Nairobi","204","Mukiri Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1252,805,1946
"271","awendo lamba, 042, Nairobi","206","Meru - Nairobi Hwy","1/10/2017 - 1/12/2017, Every day, Daily Average",2554,1887,3455
"271","awendo lamba, 042, Nairobi","207","2nd Sunrise Ave","1/10/2017 - 1/12/2017, Every day, Daily Average",2009,1328,3039
"271","awendo lamba, 042, Nairobi","208","Kangundo Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2815,1900,4168
"271","awendo lamba, 042, Nairobi","209","City Chicken Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1966,1266,3051
"271","awendo lamba, 042, Nairobi","210","Airport N Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1565,882,2775
"271","awendo lamba, 042, Nairobi","211","Kayole Spine Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2257,1342,3793
"271","awendo lamba, 042, Nairobi","212","Lunga Lunga Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1574,871,2844
"271","awendo lamba, 042, Nairobi","213","Ruiru Kamiti Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1720,1163,2542
"271","awendo lamba, 042, Nairobi","214","Lane 26","1/10/2017 - 1/12/2017, Every day, Daily Average",2026,1389,2954
"271","awendo lamba, 042, Nairobi","218","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2518,1812,3497
"271","awendo lamba, 042, Nairobi","220","Dagoretti Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2825,1811,4406
"271","awendo lamba, 042, Nairobi","221","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",3100,2254,4262
"271","awendo lamba, 042, Nairobi","222","Kikuyu Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2695,1776,4088
"271","awendo lamba, 042, Nairobi","224","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1824,1057,3146
"271","awendo lamba, 042, Nairobi","225","Woodvalle Dr","1/10/2017 - 1/12/2017, Every day, Daily Average",1280,765,2139
"271","awendo lamba, 042, Nairobi","227","A2","1/10/2017 - 1/12/2017, Every day, Daily Average",2310,1581,3373
"271","awendo lamba, 042, Nairobi","228","Eastern Bypass","1/10/2017 - 1/12/2017, Every day, Daily Average",2387,1482,3842
"271","awendo lamba, 042, Nairobi","229","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",938,497,1767
"271","awendo lamba, 042, Nairobi","230","Southern Bypass","1/10/2017 - 1/12/2017, Every day, Daily Average",2736,1706,4386
