"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","63","Murishu Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1885,1260,2818
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","64","Nziu Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1191,687,2063
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","65","TRM Dr","1/10/2017 - 1/12/2017, Every day, Daily Average",1187,737,1910
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","66","Muramati Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1715,1006,2923
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","67","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1807,1151,2836
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","68","Millenium Krishna","1/10/2017 - 1/12/2017, Every day, Daily Average",1220,758,1963
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","69","Southern Bypass","1/10/2017 - 1/12/2017, Every day, Daily Average",823,421,1607
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","70","Mbagathi Way","1/10/2017 - 1/12/2017, Every day, Daily Average",1040,554,1948
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","71","Southern Bypass","1/10/2017 - 1/12/2017, Every day, Daily Average",2350,1620,3408
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","72","Biashara St","1/10/2017 - 1/12/2017, Every day, Daily Average",1805,1268,2568
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","73","Beijing Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1884,1213,2925
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","76","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2947,1985,4373
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","77","Argwings Kodhek Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1088,640,1847
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","78","ARGWINGS KODHEK APPARTMENTS","1/10/2017 - 1/12/2017, Every day, Daily Average",1403,878,2239
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","79","Eastern Bypass","1/10/2017 - 1/12/2017, Every day, Daily Average",2046,1282,3263
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","80","Kihingo","1/10/2017 - 1/12/2017, Every day, Daily Average",2035,1444,2866
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","81","Kangundo Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2131,1400,3243
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","82","Langata Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1471,908,2380
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","83","A 104","1/10/2017 - 1/12/2017, Every day, Daily Average",1725,1180,2520
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","86","Ngong Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2046,1188,3522
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","87","Church Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1867,1266,2752
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","88","Mombasa Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1666,1001,2770
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","90","0 General Mathenge Dr","1/10/2017 - 1/12/2017, Every day, Daily Average",1068,625,1824
"192","KISII UNIVERSITY NAIROBI CAMPUS, Corner House, Nairobi","91","Irungu Riika Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",361,138,941
